Vendor|CardName|AnnualFee|BenefitDescription|AdditionalDetails|BenefitCategory|TimeCategory|DollarValue|EnrollmentRequired|EffectiveDate|BenefitDescriptionShort|BenefitType|NumericValue
Chase|United℠ Explorer Card|95|Free first checked bag for cardholder + 1 companion on United flights|terms apply|Airline|Permanent|N/A|False|2025-11-29|Free Bag|Perk|N/A
Chase|United℠ Explorer Card|95|Priority boarding on United flights||Airline|Permanent|N/A|False|2025-11-29|Priority Boarding|Perk|N/A
Chase|United℠ Explorer Card|95|2 United Club one-time passes each cardmember anniversary||Lounge Access|Annually (anniversary year)|N/A|False|2025-11-29|Club Passes|Perk|2
Chase|United℠ Explorer Card|95|Global Entry/TSA PreCheck/NEXUS fee credit|up to $120|Travel Security|Every 4 years|120|False|2025-11-29|TSA Credit|Credit|120
Chase|United℠ Explorer Card|95|25% back on United inflight & Club premium drink purchases||Airline|Permanent|N/A|False|2025-11-29|Inflight Savings|Savings|25
Chase|Marriott Bonvoy Boundless® Credit Card|95|Up to 17x total points at Marriott Bonvoy hotels||Hotel|Permanent|N/A|False|2025-11-29|Hotel Points|Multiplier|17
Chase|Marriott Bonvoy Boundless® Credit Card|95|Free Night Award each cardmember anniversary|up to 35,000 points|Hotel|Annually (anniversary year)|N/A|False|2025-11-29|Free Night|Free Night|35000
Chase|Marriott Bonvoy Boundless® Credit Card|95|15 Elite Night Credits annually||Hotel Status|Permanent (calendar year)|N/A|False|2025-11-29|Elite Credits|Bonus|15
American Express|Delta SkyMiles® Platinum American Express Card|350|3x miles on Delta purchases & direct hotel bookings||Airline,Hotel|Permanent|N/A|False|2025-11-29|Delta & Hotels|Multiplier|3
American Express|Delta SkyMiles® Platinum American Express Card|350|$120 Resy Credit $120 Rideshare Credit $150 Delta Stays Credit||Dining,Rideshare,Hotel|Various|N/A|True|2025-11-29|Bonus Credits|Credit|150
American Express|Delta SkyMiles® Platinum American Express Card|350|Annual Companion Certificate|Main Cabin domestic/round-trip|Airline|Annually (renewal)|N/A|False|2025-11-29|Companion Certificate|Perk|N/A
American Express|Delta SkyMiles® Platinum American Express Card|350|Global Entry/TSA PreCheck credit||Travel Security|Every 4-4.5 years|120|False|2025-11-29|TSA Credit|Credit|120
American Express|Hilton Honors American Express Surpass® Card|150|14x Hilton Honors points at Hilton properties||Hotel|Permanent|N/A|False|2025-11-29|Hotel Points|Multiplier|14
American Express|Hilton Honors American Express Surpass® Card|150|Hilton Honors Gold status||Hotel Status|Permanent|N/A|True|2025-11-29|Gold Status|Status|N/A
American Express|Hilton Honors American Express Surpass® Card|150|$200 Hilton credit|$50 quarterly|Hotel|Quarterly|200|False|2025-11-29|Hilton Credit|Credit|200
American Express|Hilton Honors American Express Surpass® Card|150|Free Night Reward after $15,000 spend in calendar year||Hotel|Calendar year|N/A|False|2025-11-29|Free Night|Perk|N/A
Chase|Southwest Rapid Rewards® Priority Credit Card|149|7,500 anniversary bonus points each year||Anniversary Bonus|Annually (anniversary year)|N/A|False|2025-11-29|Anniversary Points|Bonus|7500
Chase|Southwest Rapid Rewards® Priority Credit Card|149|$75 annual Southwest travel credit||Airline|Annually (calendar year)|75|False|2025-11-29|Southwest Credit|Credit|75
Chase|Southwest Rapid Rewards® Priority Credit Card|149|4 Upgraded Boardings per year|when available|Airline|Per year|N/A|False|2025-11-29|Upgraded Boardings|Perk|4
Chase|Southwest Rapid Rewards® Priority Credit Card|149|25% back on inflight purchases||Airline|Permanent|N/A|False|2025-11-29|Inflight Savings|Savings|25
Discover|Discover it® Miles|0|Unlimited 1.5 miles per $1 on all purchases||All Purchases|Permanent|N/A|False|2025-11-29|Flat Miles|Multiplier|1.5
Capital One|Capital One VentureOne Rewards Credit Card|0|5x miles on hotels & rental cars through Capital One Travel||Hotel,Rental Cars|Permanent|N/A|False|2025-11-29|Portal Hotels|Multiplier|5
Capital One|Capital One VentureOne Rewards Credit Card|0|1.25x miles on all other purchases||All Purchases|Permanent|N/A|False|2025-11-29|Everyday Miles|Multiplier|1.25
Chase|IHG One Rewards Premier Credit Card|99|Up to 26x total points at IHG hotels||Hotel|Permanent|N/A|False|2025-11-29|Hotel Points|Multiplier|26
Chase|IHG One Rewards Premier Credit Card|99|Anniversary Free Night Award|up to 40,000 points|Hotel|Annually (anniversary year)|N/A|False|2025-11-29|Free Night|Free Night|40000
Chase|IHG One Rewards Premier Credit Card|99|$100 statement credit + 10,000 points after $20,000 spend annually||Hotel|Calendar year|N/A|False|2025-11-29|Spend Bonus|Bonus|10000
Chase|IHG One Rewards Premier Credit Card|99|Global Entry/TSA PreCheck credit||Travel Security|Every 4 years|120|False|2025-11-29|TSA Credit|Credit|120
Chase|IHG One Rewards Premier Credit Card|99|Platinum Elite status||Hotel Status|Permanent|N/A|False|2025-11-29|Platinum Status|Status|N/A
American Express|American Express® Green Card|150|3x Membership Rewards points on travel & transit||Travel,Transit|Permanent|N/A|False|2025-11-29|Travel & Transit|Multiplier|3
American Express|American Express® Green Card|150|$189 CLEAR Plus Credit||Travel Security|Annually (calendar year)|189|True|2025-11-29|CLEAR Credit|Credit|189
American Express|American Express® Green Card|150|$100 LoungeBuddy credit||Lounge Access|Annually (calendar year)|100|False|2025-11-29|LoungeBuddy Credit|Credit|100
Chase|United Quest℠ Card|250|Free first & second checked bag on United flights|terms apply|Airline|Permanent|N/A|False|2025-11-29|Free Bags|Perk|N/A
Chase|United Quest℠ Card|250|$125 annual United purchase credit||Airline|Annually (calendar year)|125|False|2025-11-29|United Credit|Credit|125
Chase|United Quest℠ Card|250|Up to 10,000-mile award flight discount|twice per year|Airline|Calendar year|N/A|False|2025-11-29|Award Discount|Bonus|10000
Citi|Citi Simplicity® Card|0|No late fees no penalty rate no annual fee||Card Protection|Permanent|N/A|False|2025-11-29|No Fees|Perk|N/A
Discover|Discover it® Chrome|0|2% cash back at gas stations & restaurants|up to $1,000 quarterly then 1%|Gas,Dining|Quarterly|N/A|False|2025-11-29|Gas & Dining|Cashback|2
Discover|Discover it® Chrome|0|1% cash back on all other purchases||All Purchases|Permanent|N/A|False|2025-11-29|Everyday Cashback|Cashback|1
Chase|The World of Hyatt Credit Card|95|Up to 9x total points at Hyatt properties||Hotel|Permanent|N/A|False|2025-11-29|Hotel Points|Multiplier|9
Chase|The World of Hyatt Credit Card|95|Anniversary Free Night Award|Category 1-4|Hotel|Annually (anniversary year)|N/A|False|2025-11-29|Free Night|Perk|N/A
Chase|The World of Hyatt Credit Card|95|Additional Free Night Award after $15,000 spend annually||Hotel|Calendar year|N/A|False|2025-11-29|Spend Free Night|Perk|N/A
Chase|The World of Hyatt Credit Card|95|Discoverist status||Hotel Status|Permanent|N/A|False|2025-11-29|Discoverist Status|Status|N/A
Capital One|Capital One QuicksilverOne Cash Rewards Credit Card|39|Unlimited 1.5% cash back on every purchase||All Purchases|Permanent|N/A|False|2025-11-29|Flat Cashback|Cashback|1.5
American Express|Marriott Bonvoy Brilliant® American Express® Card|650|6x Marriott Bonvoy points at Marriott hotels||Hotel|Permanent|N/A|False|2025-11-29|Hotel Points|Multiplier|6
American Express|Marriott Bonvoy Brilliant® American Express® Card|650|Platinum Elite status||Hotel Status|Permanent|N/A|False|2025-11-29|Platinum Status|Status|N/A
American Express|Marriott Bonvoy Brilliant® American Express® Card|650|$300 Marriott dining statement credit|up to $25 monthly|Dining,Hotel|Monthly|300|False|2025-11-29|Marriott Dining|Credit|300
American Express|Marriott Bonvoy Brilliant® American Express® Card|650|85,000-point Free Night Award annually after renewal||Hotel|Annually (anniversary year)|N/A|False|2025-11-29|Free Night|Free Night|85000
American Express|Delta SkyMiles® Reserve American Express Card|650|4x miles on Delta purchases||Airline|Permanent|N/A|False|2025-11-29|Delta Bonus|Multiplier|4
American Express|Delta SkyMiles® Reserve American Express Card|650|Annual Companion Certificate|First Class/Comfort+/Main Cabin|Airline|Annually (renewal)|N/A|False|2025-11-29|Companion Certificate|Perk|N/A
American Express|Delta SkyMiles® Reserve American Express Card|650|Delta Sky Club access|15 visits per year; unlimited after $75,000 spend|Lounge Access|Permanent (Medallion year)|N/A|False|2025-11-29|Sky Club Access|Access|15
American Express|Hilton Honors Aspire Card from American Express|550|14x Hilton Honors points at Hilton properties||Hotel|Permanent|N/A|False|2025-11-29|Hotel Points|Multiplier|14
American Express|Hilton Honors Aspire Card from American Express|550|Diamond status||Hotel Status|Permanent|N/A|False|2025-11-29|Diamond Status|Status|N/A
American Express|Hilton Honors Aspire Card from American Express|550|$250 Hilton resort credit||Hotel|Annually (calendar year)|250|False|2025-11-29|Resort Credit|Credit|250
American Express|Hilton Honors Aspire Card from American Express|550|$250 airline fee credit||Airline|Annually (calendar year)|250|False|2025-11-29|Airline Credit|Credit|250
American Express|Hilton Honors Aspire Card from American Express|550|Annual Free Weekend Night Reward||Hotel|Annually (anniversary year)|N/A|False|2025-11-29|Free Night|Perk|N/A
Chase|Aeroplan® Credit Card|95|Up to 7x points on Air Canada purchases||Airline|Permanent|N/A|False|2025-11-29|Air Canada Bonus|Multiplier|7
Chase|Aeroplan® Credit Card|95|Free first checked bag on Air Canada flights|for cardholder + up to 8 companions|Airline|Permanent|N/A|False|2025-11-29|Free Bag|Perk|N/A
Chase|Aeroplan® Credit Card|95|Global Entry/TSA PreCheck credit||Travel Security|Every 4 years|120|False|2025-11-29|TSA Credit|Credit|120
Chase|British Airways Visa Signature® Card|95|Up to 3x Avios on British Airways Aer Lingus Iberia LEVEL purchases||Airline|Permanent|N/A|False|2025-11-29|Airline Bonus|Multiplier|3
Chase|British Airways Visa Signature® Card|95|Travel Together Ticket after $30,000 spend annually||Airline|Calendar year|N/A|False|2025-11-29|Travel Together|Perk|N/A
U.S. Bank|U.S. Bank Smartly Visa Signature Card|0|Up to 4% cash back with qualifying U.S. Bank accounts|base 2%|All Purchases|Permanent|N/A|False|2025-11-29|Smartly Bonus|Cashback|4
Capital One|Capital One Savor Student Cash Rewards Credit Card|0|Unlimited 3% cash back on dining entertainment popular streaming & grocery stores||Dining,Entertainment,Streaming,Groceries|Permanent|N/A|False|2025-11-29|Dining & More|Cashback|3
Discover|Discover it® Secured Credit Card|0|2% cash back at gas stations & restaurants|up to $1,000 quarterly|Gas,Dining|Quarterly|N/A|False|2025-11-29|Gas & Dining|Cashback|2
Discover|Discover it® Secured Credit Card|0|1% cash back on all other purchases||All Purchases|Permanent|N/A|False|2025-11-29|Everyday Cashback|Cashback|1
Capital One|Capital One Platinum Secured Credit Card|0|Credit line increase potential after on-time payments||Credit Building|Permanent|N/A|False|2025-11-29|Credit Building|Perk|N/A
Chase|Chase Slate Edge®|0|0% intro APR offers|ongoing benefit is potential APR reduction with on-time payments|Credit Building|Permanent|N/A|False|2025-11-29|APR Reduction|Perk|N/A
Chase|IHG One Rewards Traveler Credit Card|0|Up to 17x total points at IHG hotels||Hotel|Permanent|N/A|False|2025-11-29|Hotel Points|Multiplier|17
Chase|IHG One Rewards Traveler Credit Card|0|Silver Elite status||Hotel Status|Permanent|N/A|False|2025-11-29|Silver Status|Status|N/A
Chase|IHG One Rewards Traveler Credit Card|0|Fourth Reward Night Free on award stays||Hotel|Permanent|N/A|False|2025-11-29|Fourth Night Free|Perk|N/A
Chase|United Club℠ Card|525|United Club membership|unlimited access + 2 guests|Lounge Access|Permanent|N/A|False|2025-11-29|Club Membership|Access|N/A
Chase|United Club℠ Card|525|Free first & second checked bag on United flights||Airline|Permanent|N/A|False|2025-11-29|Free Bags|Perk|N/A
Bank of America|Bank of America® Customized Cash Rewards credit card for Students|0|3% cash back in choice category|including online shopping dining travel drug stores home improvement; monthly choice|Choice Category|Permanent|N/A|False|2025-11-29|Choice Bonus|Cashback|3
Bank of America|Bank of America® Customized Cash Rewards credit card for Students|0|2% cash back at grocery stores & wholesale clubs|up to $2,500 quarterly combined with choice category|Groceries|Quarterly|N/A|False|2025-11-29|Grocery Bonus|Cashback|2
Discover|Discover it® Student Cash Back|0|5% cash back in rotating quarterly categories|up to $1,500 upon activation|Rotating Categories|Quarterly|N/A|False|2025-11-29|Rotating Bonus|Cashback|5
Discover|Discover it® Student Cash Back|0|1% cash back on all other purchases||All Purchases|Permanent|N/A|False|2025-11-29|Everyday Cashback|Cashback|1
Capital One|Capital One Quicksilver Student Cash Rewards Credit Card|0|Unlimited 1.5% cash back on all purchases||All Purchases|Permanent|N/A|False|2025-11-29|Flat Cashback|Cashback|1.5
Capital One|Capital One Quicksilver Student Cash Rewards Credit Card|0|5% cash back on hotels & rental cars through Capital One Travel||Hotel,Rental Cars|Permanent|N/A|False|2025-11-29|Portal Hotels|Cashback|5
Discover|Discover it® Student Chrome|0|2% cash back at gas stations & restaurants|up to $1,000 quarterly|Gas,Dining|Quarterly|N/A|False|2025-11-29|Gas & Dining|Cashback|2
Discover|Discover it® Student Chrome|0|1% cash back on all other purchases||All Purchases|Permanent|N/A|False|2025-11-29|Everyday Cashback|Cashback|1
Capital One|Capital One Quicksilver Secured Cash Rewards Credit Card|0|Unlimited 1.5% cash back on every purchase||All Purchases|Permanent|N/A|False|2025-11-29|Flat Cashback|Cashback|1.5
Capital One|Capital One Quicksilver Secured Cash Rewards Credit Card|0|5% cash back on hotels & rental cars through Capital One Travel||Hotel,Rental Cars|Permanent|N/A|False|2025-11-29|Portal Hotels|Cashback|5
U.S. Bank|U.S. Bank Shield™ Visa® Card|0|Cell phone protection up to $600 per claim|$25 deductible|Cell Phone Protection|Permanent (per claim)|600|False|2025-11-29|Phone Protection|Protection|600
