Vendor|CardName|EffectiveDate|Terms|SignUpBonusValue|SignUpBonusType|slug-id|SpendAmount|SignupDurationMonths
Citi|Citi Strata Premier Card||Spend $6000 in 3 months|100000|Points|citi-strata-premier-card|6000|3
Citi|Citi Custom Cash Card||Spend $1500 in 6 months|200|Cash|citi-custom-cash-card|1500|6
Wells Fargo|Wells Fargo Active Cash Card||Spend $500 in 3 months|200|Cash|wells-fargo-active-cash-card|500|3
Wells Fargo|Wells Fargo Autograph Card||Spend $1000 in 3 months|20000|Points|wells-fargo-autograph-card|1000|3
Discover|Discover it Cash Back||First year cashback match|0|Cash|discover-it-cash-back|0|0
Discover|Discover it Miles||First year mile match|0|Miles|discover-it-miles|0|0
Discover|Discover it Chrome||First year cashback match|0|Cash|discover-it-chrome|0|0
Goldman Sachs|Apple Card||No welcome bonus|0|Cash|apple-card|0|0
U.S. Bank|U.S. Bank Altitude Reserve Visa Infinite Card||Spend $4500 in 90 days|50000|Points|us-bank-altitude-reserve-visa-infinite-card|4500|3
U.S. Bank|U.S. Bank Altitude Connect Visa Signature Card||Spend $2000 in 120 days|50000|Points|us-bank-altitude-connect-visa-signature-card|2000|4
Bank of America|Bank of America Premium Rewards Credit Card|2025-04-28|Spend $4000 in 90 days|60000|Points|bank-of-america-premium-rewards-credit-card|4000|3
Bank of America|Bank of America Travel Rewards Credit Card||Spend $1000 in 90 days|25000|Points|bank-of-america-travel-rewards-credit-card|1000|3
Synchrony|Amazon Prime Store Card||Approved with Prime|100|Cash|amazon-prime-store-card|0|0
Synchrony|Best Buy Credit Card||No welcome bonus|0|Cash|best-buy-credit-card|0|0
PenFed|PenFed Pathfinder Rewards Visa Signature Card||No welcome bonus|0|Points|penfed-pathfinder-rewards-visa-signature-card|0|0
Wells Fargo|Bilt Mastercard||No public sign up bonus or welcome offer|0|Points|bilt-mastercard|0|0
Chase|Ink Business Preferred Credit Card|2025-12-07|Spend $8,000 in 3 months|100000|Points|ink-business-preferred-credit-card|8000|3
Chase|Ink Business Premier Credit Card|2025-12-07|Spend $10,000 in 3 months|1000|Cash|ink-business-premier-credit-card|10000|3
American Express|The Business Platinum Card from American Express|2025-12-07|Spend $20,000 in 3 months|200000|Points|the-business-platinum-card-from-american-express|20000|3
American Express|American Express Business Gold Card|2025-12-07|Spend $15,000 in 3 months|100000|Points|american-express-business-gold-card|15000|3
American Express|Blue Business Plus Credit Card from American Express|2025-12-07|Spend $3,000 in 3 months|15000|Points|blue-business-plus-credit-card-from-american-express|3000|3
American Express|Blue Business Cash™ Card from American Express|2025-12-07|Spend $3,000 in 3 months|250|Cash|blue-business-cash-card-from-american-express|3000|3
Capital One|Capital One Spark Cash Plus|2025-12-07|Spend $30,000 in 3 months (+ additional $2,000 for every $500,000 spent in first year)|2000|Cash|capital-one-spark-cash-plus|30000|3
Capital One|Capital One Spark Miles for Business|2025-12-07|Spend $4,500 in 3 months|50000|Miles|capital-one-spark-miles-for-business|4500|3
Citi|Citi Strata Elite Card|2025-10-08|Spend $6000 in 3 months|100000|Points|citi-strata-elite-card|6000|3
