Card Name,Provider,Annual Fee,Permanent Benefits,Monthly Reset Benefits,Quarterly Reset Benefits,Semi-annually Reset Benefits,Annual Calendar Reset Benefits,Anniversary Year Reset Benefits,Temporary / Intro / Other Benefits
Capital One Savor Student Cash Rewards Credit Card,Capital One,$0,"- 8% on Capital One Entertainment
- 3% on dining, entertainment, groceries, streaming
- no foreign transaction fees",,,,,,- student-specific perks
Discover it® Secured Credit Card,Discover,$0,"- 2% at gas & restaurants up to $1,000/quarter
- 1% on everything else
- Cashback Match",,"- 2% at gas & restaurants (up to $1,000/quarter)",,,,"- security deposit required
- potential refund after responsible use"
Capital One Platinum Secured Credit Card,Capital One,$0,"- credit building tools
- automatic credit line reviews
- no foreign transaction fees",,,,,,- security deposit starting at $49
Chase Slate Edge®,Chase,$0,- purchase & extended warranty protection,,,,,,"- low intro APR
- potential rate reduction with on-time payments"
IHG One Rewards Traveler Credit Card,Chase,$0,"- up to 17x total points at IHG
- fourth night free on award stays
- Silver Elite status
- no foreign transaction fees",,,,,,
United Club℠ Card,Chase,$695,"- 4x miles on United purchases
- United Club membership
- free checked bags
- Premier access",,,,,,
Bank of America® Customized Cash Rewards for Students,Bank of America,$0,"- 3% in choice category (one per month)
- 2% at grocery stores & wholesale clubs",- 3% choice category changes monthly,,,"- 3% choice category & 2% grocery/wholesale capped at $2,500/quarter combined",,- 0% intro APR for 15 billing cycles
Discover it® Student Cash Back,Discover,$0,"- 5% on rotating categories (up to $1,500/quarter)
- 1% on everything else
- Cashback Match",,- 5% rotating categories,,,,- no credit score required to apply
Capital One Quicksilver Student Cash Rewards Credit Card,Capital One,$0,"- Unlimited 1.5% cash back
- 5% on hotels & rental cars via Capital One Travel
- no foreign transaction fees",,,,,,- student-specific perks
Discover it® Student Chrome,Discover,$0,"- 2% at gas & restaurants up to $1,000/quarter
- 1% on everything else
- Cashback Match",,"- 2% at gas & restaurants (up to $1,000/quarter)",,,,- no credit score required
Capital One Quicksilver Secured Cash Rewards Credit Card,Capital One,$0,"- Unlimited 1.5% cash back
- 5% on hotels & rental cars via Capital One Travel",,,,,,"- security deposit required
- potential refund"
U.S. Bank Shield™ Visa® Card,U.S. Bank,$0,"- 4% on prepaid travel via U.S. Bank Travel Center
- $20 annual statement credit (with $2,400+ spend)",,,,- $20 annual credit,,- 0% intro APR for 18 billing cycles
