Vendor|CardName|EarningRate|Currency|RateCategory|AdditionalDetails|slug-id|IsDefault
Chase|The World of Hyatt Credit Card|9|points|["Hyatt"]|total points at Hyatt properties|the-world-of-hyatt-credit-card|False
Chase|The World of Hyatt Credit Card|2|points|["Generic Dining", "Generic Airlines", "Generic Transportation", "Generic Health & Wellness"]|frequent categories|the-world-of-hyatt-credit-card|False
Chase|The World of Hyatt Credit Card|1|points|["Generic Financial & Rewards"]|everything else|the-world-of-hyatt-credit-card|True
Capital One|Capital One QuicksilverOne Cash Rewards Credit Card|1.5|cash back|["Generic Financial & Rewards"]|unlimited|capital-one-quicksilverone-cash-rewards-credit-card|True
American Express|Marriott Bonvoy Brilliant American Express Card|6|points|["Marriott"]||marriott-bonvoy-brilliant-american-express-card|False
American Express|Marriott Bonvoy Brilliant American Express Card|3|points|["Generic Dining", "Generic Airlines"]|restaurants & flights direct|marriott-bonvoy-brilliant-american-express-card|False
American Express|Marriott Bonvoy Brilliant American Express Card|2|points|["Generic Financial & Rewards"]|everything else|marriott-bonvoy-brilliant-american-express-card|True
American Express|Delta SkyMiles Reserve American Express Card|3|miles|["Delta"]||delta-skymiles-reserve-american-express-card|False
American Express|Delta SkyMiles Reserve American Express Card|1|miles|["Generic Financial & Rewards"]|everything else|delta-skymiles-reserve-american-express-card|True
American Express|Hilton Honors Aspire Card from American Express|14|points|["Hilton"]|total points|hilton-honors-aspire-card-from-american-express|False
American Express|Hilton Honors Aspire Card from American Express|7|points|["Generic Dining", "Generic Airlines", "Rental Cars"]|restaurants, flights direct, rental cars|hilton-honors-aspire-card-from-american-express|False
American Express|Hilton Honors Aspire Card from American Express|3|points|["Generic Financial & Rewards"]|everything else|hilton-honors-aspire-card-from-american-express|True
Chase|Aeroplan Credit Card|7|points|["Air Canada"]|total points|aeroplan-credit-card|False
Chase|Aeroplan Credit Card|3|points|["Generic Dining", "Generic Travel Perks"]|dining & other travel|aeroplan-credit-card|False
Chase|Aeroplan Credit Card|1|points|["Generic Financial & Rewards"]|everything else|aeroplan-credit-card|True
Chase|British Airways Visa Signature Card|3|Avios|["British Airways", "Aer Lingus", "Iberia", "LEVEL"]||british-airways-visa-signature-card|False
Chase|British Airways Visa Signature Card|2|points|["Generic Hotels", "Generic Travel Perks"]|direct hotels|british-airways-visa-signature-card|False
Chase|British Airways Visa Signature Card|1|points|["Generic Financial & Rewards"]|everything else|british-airways-visa-signature-card|True
U.S. Bank|U.S. Bank Smartly Visa Signature Card|4|cash back|["Generic Financial & Rewards"]|qualifying accounts|us-bank-smartly-visa-signature-card|True
Capital One|Capital One Savor Student Cash Rewards Credit Card|3|cash back|["Generic Dining", "Generic Entertainment", "Generic Groceries"]||capital-one-savor-student-cash-rewards-credit-card|False
Capital One|Capital One Savor Student Cash Rewards Credit Card|1|cash back|["Generic Financial & Rewards"]|everything else|capital-one-savor-student-cash-rewards-credit-card|True
Discover|Discover it Secured Credit Card|2|cash back|["Generic Transportation", "Generic Dining"]|gas & dining|discover-it-secured-credit-card|False
Discover|Discover it Secured Credit Card|1|cash back|["Generic Financial & Rewards"]|everything else|discover-it-secured-credit-card|True
Capital One|Capital One Platinum Secured Credit Card|0|N/A|["Generic Financial & Rewards"]|credit building|capital-one-platinum-secured-credit-card|True
Chase|Chase Slate Edge|0|N/A|["Generic Financial & Rewards"]|credit building|chase-slate-edge|True
Chase|IHG One Rewards Traveler Credit Card|17|points|["IHG"]|total points|ihg-one-rewards-traveler-credit-card|False
Chase|IHG One Rewards Traveler Credit Card|5|points|["Generic Travel Perks"]|select travel|ihg-one-rewards-traveler-credit-card|False
Chase|IHG One Rewards Traveler Credit Card|3|points|["Generic Financial & Rewards"]|everything else|ihg-one-rewards-traveler-credit-card|True
Chase|United Club Card|4|miles|["United"]||united-club-card|False
Chase|United Club Card|2|miles|["Generic Dining", "Generic Travel Perks"]|other travel|united-club-card|False
Chase|United Club Card|1|miles|["Generic Financial & Rewards"]|everything else|united-club-card|True
Bank of America|Bank of America Customized Cash Rewards credit card for Students|3|cash back|["Choice Category"]|monthly choice|bank-of-america-customized-cash-rewards-credit-card-for-students|False
Bank of America|Bank of America Customized Cash Rewards credit card for Students|2|cash back|["Generic Groceries", "Generic Shopping"]|groceries & wholesale clubs|bank-of-america-customized-cash-rewards-credit-card-for-students|False
Bank of America|Bank of America Customized Cash Rewards credit card for Students|1|cash back|["Generic Financial & Rewards"]|everything else|bank-of-america-customized-cash-rewards-credit-card-for-students|True
Discover|Discover it Student Cash Back|5|cash back|["Rotating Categories"]|quarterly|discover-it-student-cash-back|False
Discover|Discover it Student Cash Back|1|cash back|["Generic Financial & Rewards"]|everything else|discover-it-student-cash-back|True
Capital One|Capital One Quicksilver Student Cash Rewards Credit Card|5|cash back|["Generic Hotels", "Rental Cars"]|through Capital One Travel|capital-one-quicksilver-student-cash-rewards-credit-card|False
Capital One|Capital One Quicksilver Student Cash Rewards Credit Card|1.5|cash back|["Generic Financial & Rewards"]|unlimited everything else|capital-one-quicksilver-student-cash-rewards-credit-card|True
Discover|Discover it Student Chrome|2|cash back|["Generic Transportation", "Generic Dining"]|gas & dining|discover-it-student-chrome|False
Discover|Discover it Student Chrome|1|cash back|["Generic Financial & Rewards"]|everything else|discover-it-student-chrome|True
Capital One|Capital One Quicksilver Secured Cash Rewards Credit Card|5|cash back|["Generic Hotels", "Rental Cars"]|through Capital One Travel|capital-one-quicksilver-secured-cash-rewards-credit-card|False
Capital One|Capital One Quicksilver Secured Cash Rewards Credit Card|1.5|cash back|["Generic Financial & Rewards"]|unlimited everything else|capital-one-quicksilver-secured-cash-rewards-credit-card|True
U.S. Bank|U.S. Bank Shield™ Visa Card|0|N/A|["Generic Financial & Rewards"]|protection-focused|us-bank-shield-visa-card|True
Goldman Sachs|Apple Card|3|cash back|["Apple"]|with Apple Pay|apple-card|False
Goldman Sachs|Apple Card|2|cash back|["Mobile Wallet"]|with Apple Pay|apple-card|False
Goldman Sachs|Apple Card|1|cash back|["Generic Financial & Rewards"]|physical card|apple-card|True
Citi|Costco Anywhere Visa Card by Citi|5|cash back|["No Rewards"]|legacy error|costco-anywhere-visa-card-by-citi|False
Citi|Costco Anywhere Visa Card by Citi|4|cash back|["Generic Transportation", "EV Charging"]|worldwide gas & EV|costco-anywhere-visa-card-by-citi|False
Citi|Costco Anywhere Visa Card by Citi|3|cash back|["Generic Dining", "Generic Travel Perks"]|restaurants & travel|costco-anywhere-visa-card-by-citi|False
Citi|Costco Anywhere Visa Card by Citi|2|cash back|["Costco"]|Costco & Costco.com|costco-anywhere-visa-card-by-citi|False
Citi|Costco Anywhere Visa Card by Citi|1|cash back|["Generic Financial & Rewards"]|everything else|costco-anywhere-visa-card-by-citi|True
Bank of America|Bank of America Travel Rewards Credit Card|3|points|["Generic Travel Perks"]|through Bank of America Travel|bank-of-america-travel-rewards-credit-card|False
Bank of America|Bank of America Travel Rewards Credit Card|1.5|points|["Generic Financial & Rewards"]|unlimited everything else|bank-of-america-travel-rewards-credit-card|True
Bank of America|Bank of America Premium Rewards Credit Card|2|points|["Generic Travel Perks", "Generic Dining"]||bank-of-america-premium-rewards-credit-card|False
Bank of America|Bank of America Premium Rewards Credit Card|1.5|points|["Generic Financial & Rewards"]|everything else|bank-of-america-premium-rewards-credit-card|True
Chase|Ink Business Cash Credit Card|5|cash back|["Generic Business & Tech"]|office supply & phone|ink-business-cash-credit-card|False
Chase|Ink Business Cash Credit Card|2|cash back|["Generic Transportation", "Generic Dining"]|gas & restaurants|ink-business-cash-credit-card|False
Chase|Ink Business Cash Credit Card|1|cash back|["Generic Financial & Rewards"]|everything else|ink-business-cash-credit-card|True
Chase|Ink Business Unlimited Credit Card|1.5|cash back|["Generic Financial & Rewards"]|unlimited|ink-business-unlimited-credit-card|True
Citi|Citi Custom Cash Card|5|cash back|["Top Category"]|top category|citi-custom-cash-card|False
Citi|Citi Custom Cash Card|1|cash back|["Generic Financial & Rewards"]|everything else|citi-custom-cash-card|True
Citi|Citi Secured Mastercard|0|N/A|["Generic Financial & Rewards"]|credit building|citi-secured-mastercard|True
Synchrony|Best Buy Credit Card|5|points|["Best Buy"]||best-buy-credit-card|False
Synchrony|Amazon Prime Store Card|5|cash back|["Amazon"]|with Prime|amazon-prime-store-card|False
Synchrony|Amazon Store Card|0|N/A|["No Rewards"]|no rewards without Prime|amazon-store-card|False
Wells Fargo|Wells Fargo Active Cash Secured Credit Card|2|cash rewards|["Generic Financial & Rewards"]|unlimited|wells-fargo-active-cash-secured-credit-card|True
Wells Fargo|Wells Fargo Autograph Card|3|points|["Generic Dining", "Generic Travel Perks", "Generic Transportation", "EV Charging", "Generic Entertainment", "Generic Business & Tech"]|unlimited categories|wells-fargo-autograph-card|False
Wells Fargo|Wells Fargo Autograph Card|1|points|["Generic Financial & Rewards"]|everything else|wells-fargo-autograph-card|True
Wells Fargo|Wells Fargo Reflect Secured Credit Card|0|N/A|["Generic Financial & Rewards"]|protection-focused|wells-fargo-reflect-secured-credit-card|True
USAA|USAA Cashback Rewards Plus American Express Card|5|cash back|["Generic Transportation"]|gas & military bases|usaa-cashback-rewards-plus-american-express-card|False
USAA|USAA Cashback Rewards Plus American Express Card|2|cash back|["Generic Groceries"]|supermarkets|usaa-cashback-rewards-plus-american-express-card|False
USAA|USAA Cashback Rewards Plus American Express Card|1|cash back|["Generic Financial & Rewards"]|everything else|usaa-cashback-rewards-plus-american-express-card|True
USAA|USAA Preferred Cash Rewards Visa Signature Card|1.5|cash back|["Generic Financial & Rewards"]|unlimited|usaa-preferred-cash-rewards-visa-signature-card|True
PNC|PNC Core Visa Credit Card|1.5|cash back|["Generic Financial & Rewards"]|unlimited|pnc-core-visa-credit-card|True
PNC|PNC Premier Traveler Visa Signature Credit Card|3|miles|["Generic Travel Perks"]||pnc-premier-traveler-visa-signature-credit-card|False
PNC|PNC Premier Traveler Visa Signature Credit Card|2|miles|["Generic Financial & Rewards"]|everything else|pnc-premier-traveler-visa-signature-credit-card|True
Navy Federal|Navy Federal nRewards Secured Credit Card|1|points|["Generic Financial & Rewards"]|everything|navy-federal-nrewards-secured-credit-card|True
PenFed|PenFed Power Cash Rewards Visa Signature Card|2|cash back|["Generic Financial & Rewards"]|unlimited|penfed-power-cash-rewards-visa-signature-card|True
PenFed|PenFed Pathfinder Rewards Visa Signature Card|4|points|["Generic Travel Perks"]|travel spend|penfed-pathfinder-rewards-visa-signature-card|False
PenFed|PenFed Pathfinder Rewards Visa Signature Card|1.5|points|["Generic Financial & Rewards"]|everything else|penfed-pathfinder-rewards-visa-signature-card|True
Huntington|Huntington Voice Visa Card|3|points|["Choice Category"]|quarterly choice|huntington-voice-visa-card|False
Huntington|Huntington Voice Visa Card|1|points|["Generic Financial & Rewards"]|everything else|huntington-voice-visa-card|True
U.S. Bank|U.S. Bank Altitude Connect Visa Signature Card|5|points|["Generic Hotels", "Rental Cars"]|through Altitude Rewards|us-bank-altitude-connect-visa-signature-card|False
U.S. Bank|U.S. Bank Altitude Connect Visa Signature Card|4|points|["Generic Travel Perks", "Generic Transportation", "EV Charging"]|travel & gas|us-bank-altitude-connect-visa-signature-card|False
U.S. Bank|U.S. Bank Altitude Connect Visa Signature Card|2|points|["Generic Dining", "Generic Groceries", "Generic Entertainment"]|dining & groceries|us-bank-altitude-connect-visa-signature-card|False
U.S. Bank|U.S. Bank Altitude Connect Visa Signature Card|1|points|["Generic Financial & Rewards"]|everything else|us-bank-altitude-connect-visa-signature-card|True
U.S. Bank|U.S. Bank Altitude Reserve Visa Infinite Card|5|points|["US Bank Travel"]|prepaid travel|us-bank-altitude-reserve-visa-infinite-card|False
U.S. Bank|U.S. Bank Altitude Reserve Visa Infinite Card|3|points|["Mobile Wallet", "Generic Travel Perks"]|mobile wallet & travel|us-bank-altitude-reserve-visa-infinite-card|False
U.S. Bank|U.S. Bank Altitude Reserve Visa Infinite Card|1|points|["Generic Financial & Rewards"]|everything else|us-bank-altitude-reserve-visa-infinite-card|True
Synchrony|Lowe’s Advantage Card|5|cash back|["Lowe's"]|Lowe's purchases|lowes-advantage-card|False
Synchrony|Sam’s Club Mastercard|5|cash back|["Generic Transportation"]|gas stations|sams-club-mastercard|False
Synchrony|Sam’s Club Mastercard|3|cash back|["Generic Dining"]|dining & takeout|sams-club-mastercard|False
Synchrony|Sam’s Club Mastercard|1|cash back|["Generic Financial & Rewards"]|everything else|sams-club-mastercard|True
Synchrony|PayPal Credit|0|N/A|["No Rewards"]|no rewards|paypal-credit|False
PNC|PNC Cash Rewards Visa Credit Card|4|cash back|["Generic Transportation"]||pnc-cash-rewards-visa-credit-card|False
PNC|PNC Cash Rewards Visa Credit Card|3|cash back|["Generic Dining"]||pnc-cash-rewards-visa-credit-card|False
PNC|PNC Cash Rewards Visa Credit Card|2|cash back|["Generic Groceries"]||pnc-cash-rewards-visa-credit-card|False
PNC|PNC Cash Rewards Visa Credit Card|1|cash back|["Generic Financial & Rewards"]|everything else|pnc-cash-rewards-visa-credit-card|True
Santander|Santander Unlimited Cash Rewards Card|1.5|cash back|["Generic Financial & Rewards"]|unlimited|santander-unlimited-cash-rewards-card|True
Wells Fargo|Bilt Mastercard|1|points|["Rent"]|rent through Bilt app|bilt-mastercard|False
Wells Fargo|Bilt Mastercard|3|points|["Generic Dining"]|restaurants worldwide|bilt-mastercard|False
Wells Fargo|Bilt Mastercard|2|points|["Generic Airlines", "Generic Hotels"]|direct air & hotel bookings|bilt-mastercard|False
Wells Fargo|Bilt Mastercard|1|points|["Generic Financial & Rewards"]|everything else|bilt-mastercard|True
Chase|Ink Business Preferred Credit Card|3|points|["Generic Travel Perks", "Generic Business & Tech"]|business bonus categories|ink-business-preferred-credit-card|False
Chase|Ink Business Preferred Credit Card|1|points|["Generic Financial & Rewards"]|everything else|ink-business-preferred-credit-card|True
Chase|Ink Business Premier Credit Card|5|cash back|["Generic Travel Perks"]|through Chase Travel|ink-business-premier-credit-card|False
Chase|Ink Business Premier Credit Card|2.5|cash back|["Large Purchases"]|$5,000+ purchases|ink-business-premier-credit-card|False
Chase|Ink Business Premier Credit Card|2|cash back|["Generic Financial & Rewards"]|everything else|ink-business-premier-credit-card|True
American Express|The Business Platinum Card from American Express|5|points|["Generic Airlines", "Generic Hotels"]|direct air & prepaid hotels|the-business-platinum-card-from-american-express|False
American Express|The Business Platinum Card from American Express|1.5|points|["Generic Business & Tech", "Generic Transportation", "Large Purchases"]|business categories & $5,000+ spend|the-business-platinum-card-from-american-express|False
American Express|The Business Platinum Card from American Express|1|points|["Generic Financial & Rewards"]|everything else|the-business-platinum-card-from-american-express|True
American Express|American Express Business Gold Card|4|points|["Generic Transportation", "Generic Dining", "Generic Business & Tech", "Generic Airlines"]|top categories automatically|american-express-business-gold-card|False
American Express|American Express Business Gold Card|3|points|["Amex Travel", "Generic Hotels"]|AmexTravel.com bookings|american-express-business-gold-card|False
American Express|American Express Business Gold Card|1|points|["Generic Financial & Rewards"]|everything else|american-express-business-gold-card|True
American Express|Blue Business Plus Credit Card from American Express|2|points|["All Purchases"]|up to $50k annually|blue-business-plus-credit-card-from-american-express|False
American Express|Blue Business Plus Credit Card from American Express|1|points|["Generic Financial & Rewards"]|after $50k spend|blue-business-plus-credit-card-from-american-express|True
American Express|Blue Business Cash™ Card from American Express|2|cash back|["All Purchases"]|up to $50k annually|blue-business-cash-card-from-american-express|False
American Express|Blue Business Cash™ Card from American Express|1|cash back|["Generic Financial & Rewards"]|after $50k spend|blue-business-cash-card-from-american-express|True
Capital One|Capital One Spark Cash Plus|5|cash back|["Generic Hotels", "Rental Cars"]|through Capital One Travel|capital-one-spark-cash-plus|False
Capital One|Capital One Spark Cash Plus|2|cash back|["Generic Financial & Rewards"]|unlimited|capital-one-spark-cash-plus|True
Capital One|Capital One Spark Miles for Business|5|miles|["Generic Hotels", "Rental Cars"]|through Capital One Travel|capital-one-spark-miles-for-business|False
Capital One|Capital One Spark Miles for Business|2|miles|["Generic Financial & Rewards"]|unlimited|capital-one-spark-miles-for-business|True
Synchrony|Best Buy Credit Card|0|N/A|["Generic Financial & Rewards"]|non-qualifying spend|best-buy-credit-card|True
Synchrony|Amazon Prime Store Card|0|N/A|["Generic Financial & Rewards"]|non-qualifying spend|amazon-prime-store-card|True
Synchrony|Amazon Store Card|0|N/A|["Generic Financial & Rewards"]|non-qualifying spend|amazon-store-card|True
Synchrony|Lowe’s Advantage Card|0|N/A|["Generic Financial & Rewards"]|non-qualifying spend|lowes-advantage-card|True
Synchrony|PayPal Credit|0|N/A|["Generic Financial & Rewards"]|non-qualifying spend|paypal-credit|True
Citi|Citi Strata Elite Card|12|points|["Citi Travel"]|hotels & rental cars through Citi Travel|citi-strata-elite-card|False
Citi|Citi Strata Elite Card|6|points|["Generic Airlines"]|through Citi Travel|citi-strata-elite-card|False
Citi|Citi Strata Elite Card|6|points|["Citi Nights"]|Citi Nights (Fri/Sat)|citi-strata-elite-card|False
Citi|Citi Strata Elite Card|3|points|["Generic Dining"]|other restaurant spend|citi-strata-elite-card|False
Citi|Citi Strata Elite Card|1.5|points|["Generic Financial & Rewards"]|everything else|citi-strata-elite-card|True
